popularity,budget,revenue,original_title,director,runtime,genres,release_year,budget_adj,revenue_adj
32.985763,150000000,1513528810,Jurassic World,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,2015,137999939.280026,1392445892.5238
28.419936,150000000,378436354,Mad Max: Fury Road,George Miller,120,Action|Adventure|Science Fiction|Thriller,2015,137999939.280026,348161292.489031
13.112507,110000000,295238201,Insurgent,Robert Schwentke,119,Adventure|Science Fiction|Thriller,2015,101199955.472019,271619025.407628
11.173104,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Action|Adventure|Science Fiction|Fantasy,2015,183999919.040035,1902723129.80182
9.335014,190000000,1506249360,Furious 7,James Wan,137,Action|Crime|Thriller,2015,174799923.08803302,1385748801.47052
9.1107,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,2015,124199945.352024,490314247.02173096
8.654359,155000000,440603537,Terminator Genisys,Alan Taylor,125,Science Fiction|Action|Thriller|Adventure,2015,142599937.256027,405355075.683766
7.6674,108000000,595380321,The Martian,Ridley Scott,141,Drama|Adventure|Science Fiction,2015,99359956.2816192,547749654.3101518
7.40416499999999,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,Family|Animation|Adventure|Comedy,2015,68079970.0448131,1064192016.7955099
6.326804,175000000,853708609,Inside Out,Pete Docter,94,Comedy|Animation|Family,2015,160999929.16003102,785411574.698907
6.200282,245000000,880674609,Spectre,Sam Mendes,148,Action|Adventure|Crime,2015,225399900.824043,810220283.783075
6.189369,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Science Fiction|Fantasy|Action|Adventure,2015,161919931.51523,169268630.681802
6.118847,15000000,36869414,Ex Machina,Alex Garland,108,Drama|Science Fiction,2015,13799993.9280026,33919845.9552677
5.984995,88000000,243637091,Pixels,Chris Columbus,105,Action|Comedy|Science Fiction,2015,80959964.37761559,224146025.095748
5.944927,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,141,Action|Adventure|Science Fiction,2015,257599886.656049,1292632336.88177
5.8984,44000000,155760117,The Hateful Eight,Quentin Tarantino,167,Crime|Drama|Mystery|Western,2015,40479982.18880779,143299244.588332
5.749758,48000000,325771424,Taken 3,Olivier Megaton,109,Crime|Action|Thriller,2015,44159980.5696085,299709578.207785
5.573184,130000000,518602163,Ant-Man,Peyton Reed,115,Science Fiction|Action|Adventure,2015,119599947.376023,477113780.029936
5.556818,95000000,542351353,Cinderella,Kenneth Branagh,112,Romance|Fantasy|Family|Drama,2015,87399961.54401691,498963025.216268
5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,War|Adventure|Science Fiction,2015,147199935.232028,598481289.508232
5.462138,190000000,209035668,Tomorrowland,Brad Bird,130,Action|Family|Science Fiction|Adventure|Mystery,2015,174799923.08803302,192312729.942398
5.337064,30000000,91709827,Southpaw,Antoine Fuqua,123,Action|Drama,2015,27599987.856005296,84373003.7158783
4.907832,110000000,470490832,San Andreas,Brad Peyton,114,Action|Drama|Thriller,2015,101199955.472019,432851374.985395
4.71040199999999,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,125,Drama|Romance,2015,36799983.80800711,524079119.045187
