popularity,budget,revenue,original_title,director,runtime,genres,release_year,budget_adj,revenue_adj,century,profit
12.037933,11000000,775398007,Star Wars,George Lucas,121,Adventure,1977,39575591.3582738,2789712242.27745,20th,764398007
2.379469,14000000,185438673,The Spy Who Loved Me,Lewis Gilbert,125,Adventure,1977,50368934.4559849,667167740.424415,20th,171438673
1.719385,1200000,71215869,The Rescuers,John Lounsbery|Wolfgang Reitherman|Art Stevens,78,Fantasy,1977,4317337.23908442,256219102.706214,20th,70015869
1.179653,4000000,38251425,Annie Hall,Woody Allen,93,Comedy,1977,14391124.1302814,137620251.33378702,20th,34251425
1.104997,10000000,0,Pete's Dragon,Don Chaffey,128,Fantasy,1977,35977810.32570349,0.0,20th,-10000000
1.104816,20000000,303788635,Close Encounters of the Third Kind,Steven Spielberg,135,Science Fiction,1977,71955620.65140699,1092964988.91343,20th,283788635
1.048838,22000000,50750000,A Bridge Too Far,Richard Attenborough,175,Drama,1977,79151182.7165477,182587387.4029449,20th,28750000
0.912502,0,0,The Many Adventures of Winnie the Pooh,John Lounsbery|Wolfgang Reitherman,74,Animation,1977,0.0,0.0,20th,0
0.905657,0,0,Herbie Goes To Monte Carlo,Vincent McEveety,105,Romance,1977,0.0,0.0,20th,0
0.75125,3500000,16000000,Sinbad and the Eye of the Tiger,Sam Wanamaker,113,Action,1977,12592233.613996198,57564496.5211256,20th,12500000
0.622492,0,0,March or Die,Dick Richards,107,Action,1977,0.0,0.0,20th,0
0.602862,3500000,237113184,Saturday Night Fever,John Badham,118,Drama,1977,12592233.613996198,853081315.967563,20th,233613184
0.560826,3400000,31063038,High Anxiety,Mel Brooks,94,Comedy,1977,12232455.5107391,111758008.930412,20th,27663038
0.541642,0,126737428,Smokey and the Bandit,Hal Needham,96,Action,1977,0.0,455973514.57515,20th,126737428
0.520725,0,0,Pumping Iron,George Butler|Robert Fiore,85,Documentary,1977,0.0,0.0,20th,0
0.49548,5500000,26414658,The Gauntlet,Clint Eastwood,109,Drama,1977,19787795.6791369,95034155.5342327,20th,20914658
0.474001,6000000,0,Cross of Iron,Sam Peckinpah,132,Drama,1977,21586686.1954221,0.0,20th,-6000000
0.434509,0,0,"New York, New York",Martin Scorsese,155,Drama,1977,0.0,0.0,20th,0
0.407317,0,28000000,Slap Shot,George Roy Hill,123,Drama,1977,0.0,100737868.911969,20th,28000000
0.400457,900000,0,The Duellists,Ridley Scott,100,Drama,1977,3238002.92931331,0.0,20th,-900000
0.398651,0,0,Julia,Fred Zinnemann,117,Drama,1977,0.0,0.0,20th,0
0.391055,0,0,Audrey Rose,Robert Wise,113,Fantasy,1977,0.0,0.0,20th,0
0.375967,14000000,30749142,Exorcist II: The Heretic,John Boorman,118,Horror,1977,50368934.4559849,110628679.855412,20th,16749142
0.373131,6000000,30000000,Airport '77,Jerry Jameson,114,Action,1977,21586686.1954221,107933430.97711,20th,24000000
0.346062,0,0,Jabberwocky,Terry Gilliam,105,Fantasy,1977,0.0,0.0,20th,0
0.331417,10000,7000000,Eraserhead,David Lynch,89,Science Fiction,1977,35977.8103257035,25184467.2279924,20th,6990000
0.320214,0,0,Rolling Thunder,John Flynn,95,Action,1977,0.0,0.0,20th,0
0.318679,0,0,The Message,Moustapha Akkad,177,Adventure,1977,0.0,0.0,20th,0
0.312358,3000000,0,The Hobbit,"Jules Bass|Arthur Rankin, Jr.",77,Adventure,1977,10793343.097711,0.0,20th,-3000000
0.304285,0,0,The Man in the Iron Mask,Mike Newell,100,History,1977,0.0,0.0,20th,0
0.280166,0,0,Black Sunday,John Frankenheimer,143,Action,1977,0.0,0.0,20th,0
0.267177,0,0,Candleshoe,Norman Tokar,101,Family,1977,0.0,0.0,20th,0
0.062898,0,0,The Serpent's Egg,Ingmar Bergman,120,Drama,1977,0.0,0.0,20th,0
0.241629,0,0,The White Buffalo,J. Lee Thompson,97,Western,1977,0.0,0.0,20th,0
0.228797,6000000,14717854,Orca: The Killer Whale,Michael Anderson,92,Drama,1977,21586686.1954221,52951615.9613396,20th,8717854
0.219941,22000000,12000000,Sorcerer,William Friedkin,121,Action,1977,79151182.7165477,43173372.3908442,20th,-10000000
0.191541,810000,1258000,The Last Wave,Peter Weir,106,Drama,1977,2914202.63638198,4526008.5389735,20th,448000
0.078067,0,41687243,"Oh, God!",Carl Reiner,98,Fantasy,1977,0.0,149981572.165551,20th,41687243
0.288587,1500000,0,3 Women,Robert Altman,124,Drama,1977,5396671.54885552,0.0,20th,-1500000
0.164123,500000,17000000,Kingdom of the Spiders,John 'Bud' Cardos,97,Horror,1977,1798890.51628517,61162277.5536959,20th,16500000
0.16331500000000002,0,0,The Car,Elliot Silverstein,96,Horror,1977,0.0,0.0,20th,0
0.17565699999999898,1200000,9000000,Wizards,Ralph Bakshi,80,Animation,1977,4317337.23908442,32380029.2931331,20th,7800000
0.15041,0,0,Rollercoaster,James Goldstone,119,Action,1977,0.0,0.0,20th,0
0.137351,230000,25000000,The Hills Have Eyes,Wes Craven,89,Horror,1977,827489.63749118,89944525.8142588,20th,24770000
0.24469,0,0,Demon Seed,Donald Cammell,94,Horror,1977,0.0,0.0,20th,0
0.125508999999999,600000,0,The Kentucky Fried Movie,John Landis,83,Comedy,1977,2158668.61954221,0.0,20th,-600000
0.114061999999999,0,0,The Island of Dr. Moreau,Don Taylor,99,Science Fiction,1977,0.0,0.0,20th,0
0.113714,0,0,Martin,George A. Romero,95,Horror,1977,0.0,0.0,20th,0
0.112001,0,0,The Deep,Peter Yates,123,Mystery,1977,0.0,0.0,20th,0
0.108321,0,0,Empire of the Ants,Bert I. Gordon,89,Horror,1977,0.0,0.0,20th,0
0.046957,0,0,Day of the Animals,William Girdler,97,Science Fiction,1977,0.0,0.0,20th,0
0.097126,0,3,The Sentinel,Michael Winner,92,Horror,1977,0.0,10.793343097711,20th,3
0.140163,0,102000000,The Goodbye Girl,Herbert Ross,111,Comedy,1977,0.0,366973665.322175,20th,102000000
0.080226,0,0,Opening Night,John Cassavetes,144,Drama,1977,0.0,0.0,20th,0
0.121361,530000,0,Rabid,David Cronenberg,91,Horror,1977,1906823.94726228,0.0,20th,-530000
0.071172,200000,0,Shock Waves,Ken Wiederhorn,85,Horror,1977,719556.20651407,0.0,20th,-200000
0.002457,0,0,Emmet Otter's Jug-Band Christmas,Jim Henson,48,Drama,1977,0.0,0.0,20th,0
8.947905,63000000,100853753,Fight Club,David Fincher,139,Drama,1999,82470329.3354423,132022892.45437,20th,37853753
7.753899,63000000,463517383,The Matrix,Lilly Wachowski|Lana Wachowski,136,Action,1999,82470329.3354423,606768749.6621,20th,400517383
3.5557199999999907,15000000,356296601,American Beauty,Sam Mendes,122,Drama,1999,19635792.6989148,466411079.77093095,20th,341296601
3.5260290000000003,115000000,924317558,Star Wars: Episode I - The Phantom Menace,George Lucas,136,Adventure,1999,150541077.358347,1209980530.45701,20th,809317558
2.94377,80000000,415885488,The Mummy,Stephen Sommers,124,Adventure,1999,104724227.727545,544416081.923668,20th,335885488
2.719461,60000000,284600000,The Green Mile,Frank Darabont,189,Fantasy,1999,78543170.7956593,372556440.140744,20th,224600000
2.5787310000000003,40000000,672806292,The Sixth Sense,M. Night Shyamalan,107,Mystery,1999,52362113.8637728,880738991.74917,20th,632806292
2.129874,135000000,361832400,The World Is Not Enough,Michael Apted,128,Adventure,1999,176722134.29023302,473657733.210055,20th,226832400
2.069357,10500000,75902208,Cruel Intentions,Roger Kumble,97,Drama,1999,13745054.889240302,99360001.4451943,20th,65402208
2.065619,100000000,206071502,Sleepy Hollow,Tim Burton,105,Drama,1999,130905284.659432,269758486.295067,20th,106071502
1.945894,0,0,Tarzan,Chris Buck|Kevin Lima,88,Adventure,1999,0.0,0.0,20th,0
1.825695,11000000,235483004,American Pie,Paul Weitz|Chris Weitz,95,Comedy,1999,14399581.3125375,308259696.710782,20th,224483004
1.820318,66000000,212404396,Entrapment,Jon Amiel,112,Romance,1999,86397487.8752252,278048579.212947,20th,146404396
1.810197,90000000,485015179,Toy Story 2,John Lasseter|Lee Unkrich|Ash Brannon,92,Animation,1999,117814756.193489,634910500.711404,20th,395015179
1.769152,16000000,53478166,10 Things I Hate About You,Gil Junger,97,Comedy,1999,20944845.5455091,70005745.4329437,20th,37478166
1.72385,42000000,363889678,Notting Hill,Roger Michell,124,Comedy,1999,54980219.5569615,476350818.832191,20th,321889678
1.560867,33000000,310940086,Austin Powers: The Spy Who Shagged Me,Jay Roach,95,Crime,1999,43198743.9376126,407037004.698583,20th,277940086
1.43163,2000000,11540607,Boys Don't Cry,Kimberly Peirce,118,Crime,1999,2618105.69318864,15107264.4447763,20th,9540607
1.427794,90000000,60289912,The Insider,Michael Mann,157,Drama,1999,117814756.193489,78922680.92452121,20th,-29710088
1.3486280000000002,45000000,90683916,Galaxy Quest,Dean Parisot,102,Comedy,1999,58907378.09674449,118710038.38012,20th,45683916
1.329827,65000000,162091208,Eyes Wide Shut,Stanley Kubrick,159,Drama,1999,85088435.02863091,212185957.240312,20th,97091208
1.328465,13000000,22863596,Being John Malkovich,Spike Jonze,112,Fantasy,1999,17017687.0057261,29929655.42718251,20th,9863596
1.320079,80000000,176885658,Analyze This,Harold Ramis,103,Comedy,1999,104724227.727545,231552674.126609,20th,96885658
1.309249,133000000,300135367,Stuart Little,Rob Minkoff,84,Fantasy,1999,174104028.597044,392893056.534981,20th,167135367
1.254522,73000000,151493655,The Bone Collector,Phillip Noyce,118,Drama,1999,95560857.80138548,198313200.318728,20th,78493655
1.221973,170000000,222104681,Wild Wild West,Barry Sonnenfeld,106,Action,1999,222538983.921034,290746764.904973,20th,52104681
1.189386,160000000,61698899,The 13th Warrior,John McTiernan,102,Adventure,1999,209448455.455091,80767119.3676855,20th,-98301101
1.17388799999999,100000000,211989043,End of Days,Peter Hyams,121,Action,1999,130905284.659432,277504860.185956,20th,111989043
1.152354,24000000,88545092,The Cider House Rules,Lasse HallstrÃ¶m,126,Drama,1999,31417268.31826369,115910204.734556,20th,64545092
1.150934,70000000,23159305,The Iron Giant,Brad Bird,86,Adventure,1999,91633699.2616025,30316754.1353961,20th,-46840695
1.139223,60000000,73648228,Deep Blue Sea,Renny Harlin,105,Horror,1999,78543170.7956593,96409422.5100276,20th,13648228
1.076307,21000000,0,"South Park: Bigger, Longer & Uncut",Trey Parker,81,Animation,1999,27490109.7784807,0.0,20th,-21000000
1.050599,90000000,161626121,Payback,Paul Abascal|Brian Helgeland,100,Drama,1999,117814756.193489,211577133.779048,20th,71626121
1.03785,70000000,309457509,Runaway Bride,Garry Marshall,116,Comedy,1999,91633699.2616025,405096233.056438,20th,239457509
1.0220280000000002,10000000,103166989,She's All That,Robert Iscove,95,Comedy,1999,13090528.4659432,135051040.625015,20th,93166989
0.993492,70000000,177841558,Double Jeopardy,Bruce Beresford,105,Drama,1999,91633699.2616025,232803997.742669,20th,107841558
0.992316,6000000,30471,The Boondock Saints,Troy Duffy,108,Action,1999,7854317.07956593,39888.1492885755,20th,-5969529
0.968204,10000000,12827813,Office Space,Mike Judge,89,Comedy,1999,13090528.4659432,16792285.1232296,20th,2827813
0.941202,6000000,10409377,The Virgin Suicides,Sofia Coppola,97,Drama,1999,7854317.07956593,13626424.5931234,20th,4409377
0.937873,100000000,93700000,Bicentennial Man,Chris Columbus,131,Comedy,1999,130905284.659432,122658251.72588798,20th,-6300000
0.934621,25000,248000000,The Blair Witch Project,Daniel Myrick|Eduardo SÃ¡nchez,81,Horror,1999,32726.321164857996,324645105.955391,20th,247975000
0.920974,38000000,58401898,The Ninth Gate,Roman Polanski,133,Horror,1999,49744008.1705842,76451170.82341121,20th,20401898
0.92088,50000000,73956241,The Hurricane,Norman Jewison,146,Drama,1999,65452642.3297161,96812627.8044657,20th,23956241
0.907305,16000000,18564088,The Thirteenth Floor,Josef Rusnak,100,Thriller,1999,20944845.5455091,24301372.2408275,20th,2564088
0.8765870000000001,34200000,234801895,Big Daddy,Dennis Dugan,93,Comedy,1999,44769607.3535258,307368089.035491,20th,200601895
0.855109,32000000,0,Bringing Out the Dead,Martin Scorsese,121,Drama,1999,41889691.0910183,0.0,20th,-32000000
0.8234940000000001,40000000,96618699,8MM,Joel Schumacher,123,Thriller,1999,52362113.8637728,126478982.96018998,20th,56618699
0.82073,10000000,30652890,Dogma,Kevin Smith,130,Fantasy,1999,13090528.4659432,40126252.91084261,20th,20652890
